,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2024,EN,FT,Data Analyst,149204.19774878485,USD,148177.3937843714,KE,100.0,KE,M
1,2024,SE,FT,Data Analyst,147500.0,USD,147500.0,US,0.0,US,M
2,2024,SE,FT,Data Analyst,85000.0,USD,85000.0,US,0.0,US,M
3,2024,SE,FT,Data Architect,175000.0,USD,175000.0,US,0.0,US,M
4,2024,SE,FT,Data Architect,117000.0,USD,117000.0,US,0.0,US,M
5,2024,EN,FT,Data Analyst,102927.0,USD,102927.0,AU,0.0,AU,M
6,2024,EN,FT,Data Analyst,95010.0,USD,148177.3937843714,AU,0.0,AU,M
7,2024,EN,FT,Business Intelligence Analyst,157400.0,USD,157400.0,US,100.0,US,M
8,2024,EN,FT,Business Intelligence Analyst,98600.0,USD,98600.0,US,100.0,US,M
9,2024,EN,FT,Data Analyst,83000.0,USD,83000.0,US,100.0,US,M
10,2024,EN,FT,Data Analyst,64000.0,USD,64000.0,US,100.0,US,M
11,2024,SE,FT,Data Engineer,200000.0,USD,200000.0,US,100.0,US,M
12,2024,SE,FT,Data Engineer,90000.0,USD,90000.0,US,100.0,US,M
13,2024,SE,FT,ML Engineer,250000.0,USD,250000.0,US,100.0,US,M
14,2024,SE,FT,ML Engineer,190000.0,USD,190000.0,US,100.0,US,M
15,2024,SE,FT,ML Engineer,258750.0,USD,258750.0,US,0.0,US,M
16,2024,SE,FT,ML Engineer,191250.0,USD,191250.0,US,0.0,US,M
17,2024,EN,FT,ML Engineer,177100.0,USD,177100.0,US,0.0,US,M
18,2024,EN,FT,ML Engineer,130900.0,USD,130900.0,US,0.0,US,M
19,2024,EN,FT,Data Analyst,99200.0,USD,99200.0,US,100.0,US,M
20,2024,EN,FT,Data Analyst,69400.0,USD,69400.0,US,100.0,US,M
21,2024,MI,FT,Encounter Data Management Professional,79500.0,USD,79500.0,US,100.0,US,M
22,2024,MI,FT,Encounter Data Management Professional,57700.0,USD,57700.0,US,100.0,US,M
23,2024,SE,FT,Data Engineer,179000.0,USD,179000.0,US,0.0,US,M
24,2024,SE,FT,Data Engineer,112000.0,USD,112000.0,US,0.0,US,M
25,2024,SE,FT,Machine Learning Engineer,206000.0,USD,206000.0,US,0.0,US,M
26,2024,SE,FT,Machine Learning Engineer,97335.0,USD,97335.0,US,0.0,US,M
27,2024,MI,FT,Machine Learning Engineer,223900.0,USD,223900.0,US,100.0,US,M
28,2024,MI,FT,Machine Learning Engineer,140100.0,USD,140100.0,US,100.0,US,M
29,2024,SE,FT,Data Architect,75000.0,GBP,93750.0,GB,0.0,GB,M
30,2024,SE,FT,Data Architect,65000.0,GBP,81250.0,GB,0.0,GB,M
31,2024,SE,FT,Data Manager,144300.0,USD,144300.0,US,100.0,US,M
32,2024,SE,FT,Data Manager,104800.0,USD,104800.0,US,100.0,US,M
33,2024,MI,FT,Business Intelligence,168000.0,USD,168000.0,US,100.0,US,L
34,2024,MI,FT,Business Intelligence,78400.0,USD,78400.0,US,100.0,US,L
35,2024,SE,FT,Data Analyst,207300.0,USD,207300.0,US,0.0,US,M
36,2024,SE,FT,Data Analyst,114700.0,USD,114700.0,US,0.0,US,M
37,2024,SE,FT,Data Scientist,265000.0,USD,148177.3937843714,US,100.0,US,M
38,2024,SE,FT,Data Scientist,220000.0,USD,220000.0,US,100.0,US,M
39,2024,SE,FT,Business Intelligence Analyst,120000.0,USD,120000.0,US,0.0,US,M
40,2024,SE,FT,Business Intelligence Analyst,100000.0,USD,100000.0,US,0.0,US,M
41,2024,SE,FT,Machine Learning Engineer,306000.0,USD,306000.0,US,0.0,US,M
42,2024,SE,FT,Machine Learning Engineer,151600.0,USD,151600.0,US,0.0,US,M
43,2024,EX,FT,Data Science,300000.0,USD,300000.0,US,100.0,US,M
44,2024,EX,FT,Data Science,220000.0,USD,220000.0,US,100.0,US,M
45,2024,SE,FT,Data Scientist,167500.0,USD,167500.0,US,0.0,US,M
46,2024,SE,FT,Data Scientist,138500.0,USD,138500.0,US,0.0,US,M
47,2024,MI,FT,Data Scientist,194000.0,USD,194000.0,US,0.0,US,M
48,2024,MI,FT,Data Scientist,125500.0,USD,125500.0,US,0.0,US,M
49,2024,SE,FT,Analytics Engineer,95000.0,GBP,118750.0,GB,0.0,GB,M
50,2024,SE,FT,Analytics Engineer,60000.0,GBP,75000.0,GB,0.0,GB,M
51,2024,SE,FT,Data Engineer,194500.0,USD,194500.0,US,0.0,US,M
52,2024,SE,FT,Data Engineer,147368.0,USD,147368.0,US,0.0,US,M
53,2024,MI,FT,Data Engineer,165000.0,USD,165000.0,US,0.0,US,M
54,2024,MI,FT,Data Engineer,117000.0,USD,117000.0,US,0.0,US,M
55,2024,SE,FT,Data Analyst,170000.0,USD,170000.0,US,0.0,US,M
56,2024,SE,FT,Data Analyst,148000.0,USD,148000.0,US,0.0,US,M
57,2024,SE,FT,Data Manager,160500.0,USD,160500.0,US,100.0,US,M
58,2024,SE,FT,Data Manager,107000.0,USD,148177.3937843714,US,100.0,US,M
59,2024,SE,FT,Analytics Engineer,149204.19774878485,USD,148177.3937843714,US,0.0,US,M
60,2024,SE,FT,Analytics Engineer,80000.0,USD,80000.0,US,0.0,US,M
61,2024,MI,FT,Data Infrastructure Engineer,241000.0,USD,241000.0,US,0.0,US,M
62,2024,MI,FT,Data Infrastructure Engineer,189000.0,USD,189000.0,US,0.0,US,M
63,2024,SE,FT,Data Scientist,167500.0,USD,167500.0,US,0.0,US,M
64,2024,SE,FT,Data Scientist,138500.0,USD,138500.0,US,0.0,US,M
65,2024,SE,FT,Research Scientist,200000.0,USD,200000.0,US,100.0,US,M
66,2024,SE,FT,Research Scientist,148500.0,USD,148500.0,US,100.0,US,M
67,2024,SE,FT,Research Engineer,273000.0,USD,273000.0,US,0.0,US,M
68,2024,SE,FT,Research Engineer,166500.0,USD,166500.0,US,0.0,US,M
69,2024,SE,FT,Data Analyst,106260.0,USD,106260.0,US,0.0,US,M
70,2024,SE,FT,Data Analyst,82000.0,USD,82000.0,US,0.0,US,M
71,2024,MI,FT,Business Intelligence Analyst,115000.0,USD,115000.0,US,100.0,US,M
72,2024,MI,FT,Business Intelligence Analyst,100000.0,USD,100000.0,US,100.0,US,M
73,2024,MI,FT,Data Scientist,105000.0,USD,105000.0,US,0.0,US,M
74,2024,MI,FT,Data Scientist,90000.0,USD,90000.0,US,0.0,US,M
75,2024,SE,FT,Data Scientist,170000.0,USD,148177.3937843714,US,0.0,US,M
76,2024,SE,FT,Data Scientist,140000.0,USD,140000.0,US,0.0,US,M
77,2024,MI,FT,Data Scientist,170000.0,USD,170000.0,US,0.0,US,M
78,2024,MI,FT,Data Scientist,145000.0,USD,145000.0,US,0.0,US,M
79,2024,SE,FT,Data Engineer,233000.0,USD,233000.0,US,0.0,US,M
80,2024,SE,FT,Data Engineer,140000.0,USD,140000.0,US,0.0,US,M
81,2024,SE,FT,Data Analyst,202800.0,USD,202800.0,US,0.0,US,M
82,2024,SE,FT,Data Analyst,108200.0,USD,108200.0,US,0.0,US,M
83,2024,EX,FT,Head of Data,190000.0,USD,190000.0,US,0.0,US,M
84,2024,EX,FT,Head of Data,150000.0,USD,150000.0,US,0.0,US,M
85,2024,SE,FT,Data Scientist,214872.0,USD,214872.0,US,100.0,US,M
86,2024,SE,FT,Data Scientist,186846.0,USD,186846.0,US,100.0,US,M
87,2024,EN,FT,Data Scientist,35000.0,GBP,43750.0,GB,0.0,GB,M
88,2024,EN,FT,Data Scientist,149204.19774878485,GBP,37500.0,GB,0.0,GB,M
89,2024,SE,FT,Data Engineer,145360.0,USD,145360.0,US,100.0,US,M
90,2024,SE,FT,Data Engineer,107440.0,USD,107440.0,US,100.0,US,M
91,2024,SE,FT,Applied Scientist,212800.0,USD,212800.0,US,0.0,US,L
92,2024,SE,FT,Applied Scientist,115100.0,USD,115100.0,US,0.0,US,L
93,2024,SE,FT,AI Software Engineer,174000.0,USD,174000.0,US,0.0,US,M
94,2024,SE,FT,AI Software Engineer,116000.0,USD,116000.0,US,0.0,US,M
95,2024,MI,FT,Data Engineer,181700.0,USD,181700.0,US,0.0,US,M
